country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,176983,7651.0,159744.0,9588.0,1124.0,4378,189.0,909906.0,22511.0,40421365
Albania,Europe,272885,3487.0,268764.0,634.0,13.0,95001,1214.0,1762808.0,613697.0,2872441
Algeria,Africa,265511,6870.0,178137.0,80504.0,8.0,5874,152.0,230861.0,5108.0,45199871
Andorra,Europe,39234,153.0,38377.0,704.0,14.0,506402,1975.0,249838.0,3224715.0,77476
Angola,Africa,99003,1900.0,96951.0,152.0,,2861,55.0,1473371.0,42575.0,34606502
Anguilla,North America,2595,9.0,2572.0,14.0,4.0,170376,591.0,51382.0,3373515.0,15231
Antigua And Barbuda,North America,7470,135.0,7330.0,5.0,1.0,75218,1359.0,18901.0,190321.0,99311
Argentina,South America,8990413,127363.0,8797548.0,65502.0,707.0,195859,2775.0,34971639.0,761868.0,45902517
Armenia,Asia,422254,8592.0,409196.0,4466.0,,142045,2890.0,2946713.0,991264.0,2972683
Aruba,North America,33843,212.0,33591.0,40.0,4.0,314704,1971.0,177885.0,1654144.0,107539
Australia,Australia/Oceania,3816633,5694.0,3442974.0,367965.0,92.0,146771,219.0,65109379.0,2503819.0,26004029
Austria,Europe,3387012,15344.0,2926418.0,445250.0,207.0,372446,1687.0,169566273.0,18645996.0,9093978
Azerbaijan,Asia,791077,9633.0,779987.0,1457.0,,76842,936.0,6646110.0,645572.0,10294915
Bahamas,North America,33206,773.0,32135.0,298.0,11.0,83088,1934.0,224033.0,560577.0,399647
Bahrain,Asia,542305,1464.0,529926.0,10915.0,5.0,300907,812.0,9529669.0,5287704.0,1802232
Bangladesh,Asia,1950357,29112.0,1867161.0,54084.0,1264.0,11645,174.0,13692423.0,81753.0,167485350
Barbados,North America,57451,326.0,56079.0,1046.0,,199500,1132.0,601053.0,2087171.0,287975
Belarus,Europe,946674,6698.0,928536.0,11440.0,,100241,709.0,12688661.0,1343565.0,9444026
Belgium,Europe,3683784,30492.0,3417047.0,236245.0,181.0,315512,2612.0,32285642.0,2765227.0,11675586
Belize,North America,57131,652.0,56101.0,378.0,6.0,139370,1591.0,513749.0,1253279.0,409924
Benin,Africa,26952,163.0,25506.0,1283.0,5.0,2128,13.0,604310.0,47719.0,12663850
Bermuda,North America,12094,126.0,11697.0,271.0,,195424,2036.0,823671.0,13309488.0,61886
Bhutan,Asia,20722,9.0,15939.0,4774.0,4.0,26361,11.0,2061231.0,2622144.0,786086
